,DRUG_1_CONCEPT_NAME,DRUG_2_CONCEPT_NAME,EVENT_CONCEPT_NAME,MDR_CODE,EVENT_SOURCE,BNF_SEV_LEVEL,ANSM_SEV_LEVEL,MICROMEDEX_SEV_LEVEL,BNF_EVID_LEVEL,MICROMEDEX_EVID_LEVEL
57,ondansetron,disopyramide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
58,ondansetron,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
59,vardenafil,sotalol,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Take into consideration,Major,,Theoretical
60,disopyramide,voriconazole,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
61,sunitinib,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
62,ranolazine,voriconazole,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
63,toremifene,vandetanib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
64,lapatinib,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
65,voriconazole,quinine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
66,paliperidone,methadone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
67,paliperidone,droperidol,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
68,paliperidone,apomorphine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
69,escitalopram,ondansetron,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
70,risperidone,haloperidol,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
71,droperidol,clomipramine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Take into consideration,Major,,Theoretical
72,droperidol,apomorphine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
73,haloperidol,ondansetron,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
74,haloperidol,clomipramine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Take into consideration,Major,,Theoretical
75,haloperidol,apomorphine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
76,chlorpromazine,ondansetron,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
77,chlorpromazine,disopyramide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
78,chlorpromazine,toremifene,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
79,chlorpromazine,vandetanib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
80,chlorpromazine,citalopram,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
81,chlorpromazine,clomipramine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Take into consideration,Major,,Theoretical
82,chlorpromazine,apomorphine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
83,citalopram,ondansetron,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
84,citalopram,toremifene,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
85,citalopram,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
86,citalopram,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
87,citalopram,clomipramine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
88,tetrabenazine,apomorphine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
89,ondansetron,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
90,ondansetron,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Contraindicated,,Theoretical
91,ondansetron,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
92,methadone,anagrelide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
93,methadone,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
94,methadone,saquinavir,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Contraindicated,,Theoretical
95,methadone,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
96,methadone,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
97,amiodarone,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
98,amiodarone,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
99,amiodarone,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
100,arsenic trioxide,anagrelide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
101,arsenic trioxide,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
102,arsenic trioxide,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
103,arsenic trioxide,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
104,arsenic trioxide,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
105,disopyramide,anagrelide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
106,disopyramide,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
107,disopyramide,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
108,disopyramide,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
109,disopyramide,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
110,sunitinib,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
111,toremifene,anagrelide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
112,toremifene,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
113,toremifene,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
114,toremifene,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
115,toremifene,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
116,flecainide,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
117,dasatinib,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
118,lapatinib,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
119,sorafenib,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
120,sotalol,anagrelide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
121,sotalol,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
122,sotalol,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
123,sotalol,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
124,anagrelide,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
125,anagrelide,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Contraindicated,,Theoretical
126,anagrelide,eribulin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
127,anagrelide,vandetanib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
128,anagrelide,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
129,voriconazole,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
130,moxifloxacin,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
131,moxifloxacin,clarithromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
132,moxifloxacin,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
133,moxifloxacin,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
134,moxifloxacin,vandetanib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
135,moxifloxacin,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
136,saquinavir,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Take into consideration,Contraindicated,,Theoretical
137,erythromycin,vinflunine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
138,erythromycin,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
139,erythromycin,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
140,erythromycin,panobinostat,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
141,clarithromycin,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
142,methotrimeprazine,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
143,sulpiride,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
144,vinflunine,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Major,,Theoretical
145,delamanid,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
146,delamanid,vandetanib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
147,delamanid,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
148,dronedarone,vandetanib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
149,dronedarone,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
150,dronedarone,pasireotide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Contraindicated,,Theoretical
151,vandetanib,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
152,paliperidone,pimozide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Contraindicated,,Theoretical
153,escitalopram,arsenic trioxide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
154,escitalopram,disopyramide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
155,escitalopram,toremifene,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
156,escitalopram,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
157,escitalopram,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
158,escitalopram,clarithromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
159,escitalopram,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
160,escitalopram,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
161,escitalopram,eribulin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Take into consideration,Major,,Theoretical
162,escitalopram,vandetanib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
163,escitalopram,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
164,escitalopram,pasireotide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
165,escitalopram,droperidol,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
166,escitalopram,haloperidol,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
167,escitalopram,chlorpromazine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
168,escitalopram,clomipramine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
169,risperidone,pimozide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Contraindicated,,Theoretical
170,droperidol,anagrelide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
171,droperidol,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
172,droperidol,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
173,droperidol,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
174,droperidol,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
175,droperidol,pimozide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
176,pimozide,ondansetron,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Contraindicated,,Theoretical
177,pimozide,methadone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
178,pimozide,amiodarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
179,pimozide,arsenic trioxide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
180,pimozide,disopyramide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
181,pimozide,toremifene,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
182,pimozide,sotalol,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
183,pimozide,anagrelide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Contraindicated,,Theoretical
184,pimozide,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
185,pimozide,efavirenz,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
186,pimozide,erythromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
187,pimozide,fluconazole,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
188,pimozide,sulpiride,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
189,pimozide,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
190,pimozide,vandetanib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
191,pimozide,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
192,pimozide,pasireotide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Contraindicated,,Theoretical
193,pimozide,haloperidol,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
194,pimozide,hydroxyzine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
195,pimozide,chlorpromazine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
196,pimozide,citalopram,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
197,pimozide,clomipramine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Take into consideration,Contraindicated,,Theoretical
198,pimozide,tetrabenazine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Contraindicated,,Theoretical
199,pimozide,apomorphine,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Not recommended,Contraindicated,,Theoretical
200,haloperidol,anagrelide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
201,haloperidol,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
202,haloperidol,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
203,haloperidol,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
204,haloperidol,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
205,hydroxyzine,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
206,chlorpromazine,anagrelide,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
207,chlorpromazine,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
208,chlorpromazine,clarithromycin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Precautions for use,Major,,Theoretical
209,chlorpromazine,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
210,chlorpromazine,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
211,chlorpromazine,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
212,citalopram,delamanid,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
213,citalopram,dronedarone,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Contraindicated,,Theoretical
214,citalopram,crizotinib,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Contraindicated,Major,,Theoretical
215,clomipramine,moxifloxacin,electrocardiogram qt prolonged,10014387,BNF+Micromedex,Severe,Take into consideration,Major,,Theoretical
