drug_node_name,Gene Name
miconazole,CYP2D6
miconazole,SLC30A4
miconazole,SORD
miconazole,CYP3A4
miconazole,SLC30A5
miconazole,MAT2A
miconazole,CYP2C9
miconazole,SLC39A1
miconazole,ALOX15
miconazole,CYP2C8
miconazole,SLC30A6
miconazole,RBP4
miconazole,CYP2A6
miconazole,HSD17B10
miconazole,CYP2E1
miconazole,NDUFA4L2
miconazole,CYP2C19
miconazole,CYP2B6
miconazole,NR1I2
miconazole,KCNMA1
miconazole,KCNMB1
miconazole,KCNMB2
miconazole,KCNMB3
miconazole,KCNMB4
miconazole,KCNN4
miconazole,KCNN1
miconazole,KCNN2
miconazole,KCNN3
miconazole,KCNJ12
miconazole,KCNJ14
miconazole,KCNJ2
miconazole,KCNJ4
miconazole,CACNA1C
miconazole,CACNA1D
miconazole,CACNA1F
miconazole,CACNA1S
miconazole,CACNB1
miconazole,CACNB2
miconazole,CACNB3
miconazole,CACNB4
dexamethasone,NOS2
dexamethasone,AMT
dexamethasone,SERPINA6
dexamethasone,SLC12A5
dexamethasone,DRD1
dexamethasone,SAT1
dexamethasone,ALB
dexamethasone,SLC1A5
dexamethasone,COL1A1
dexamethasone,HSD11B2
dexamethasone,AKR1C2
dexamethasone,SLC12A7
dexamethasone,F2
dexamethasone,TYR
dexamethasone,FABP4
dexamethasone,ABCB11
dexamethasone,PPARA
dexamethasone,HSD11B1
dexamethasone,MT1HL1
dexamethasone,SLCO1B1
dexamethasone,AASS
dexamethasone,MT-CO1
dexamethasone,MT1B
dexamethasone,ABCB1
dexamethasone,NR0B1
dexamethasone,NR0B1
dexamethasone,CYP17A1
dexamethasone,CYP17A1
dexamethasone,MT1E
dexamethasone,MT1E
dexamethasone,SLCO2B1
dexamethasone,SLCO2B1
dexamethasone,CKB
dexamethasone,NAGLU
dexamethasone,MT3
dexamethasone,ABCG2
dexamethasone,CD52
dexamethasone,ELANE
dexamethasone,MT4
dexamethasone,ABCC2
dexamethasone,HAL
dexamethasone,CYP4A11
dexamethasone,CALB1
dexamethasone,SLC3A1
dexamethasone,SLC18A2
dexamethasone,PCYT1A
dexamethasone,SLCO1A2
dexamethasone,TPH1
dexamethasone,CHDH
dexamethasone,SLC22A8
dexamethasone,AR
dexamethasone,CYP11B1
dexamethasone,SLCO4A1
dexamethasone,SLC38A3
dexamethasone,CYP3A5
dexamethasone,SLC30A7
dexamethasone,SORD
dexamethasone,CYP3A4
dexamethasone,SLC30A5
dexamethasone,ALOX15
dexamethasone,CYP2C8
dexamethasone,SLC30A6
dexamethasone,RBP4
dexamethasone,CYP2A6
dexamethasone,HSD17B10
dexamethasone,CYP2E1
dexamethasone,NDUFA4L2
dexamethasone,CYP2C19
dexamethasone,FGF4
dexamethasone,CYP1A1
dexamethasone,CYP2B6
dexamethasone,F7
dexamethasone,CYP3A43
dexamethasone,PRLR
dexamethasone,CYP3A7
dexamethasone,ANXA1
dexamethasone,ADHFE1
dexamethasone,NR3C1
dexamethasone,NR1I2
betamethasone,NOS2
betamethasone,AMT
betamethasone,SERPINA6
betamethasone,SLC12A5
betamethasone,DRD1
betamethasone,SAT1
betamethasone,ALB
betamethasone,SLC1A5
betamethasone,AASS
betamethasone,MT-CO1
betamethasone,MT1B
betamethasone,ABCB1
betamethasone,ASPA
betamethasone,CYP1B1
betamethasone,POU2F2
betamethasone,YARS
betamethasone,CYP19A1
betamethasone,SLC11A2
betamethasone,SLC38A3
betamethasone,CYP3A5
betamethasone,SLC30A7
betamethasone,SORD
betamethasone,CYP3A4
betamethasone,SLC30A5
betamethasone,MAT2A
betamethasone,CYP2C9
betamethasone,SLC39A1
betamethasone,ALOX15
betamethasone,CYP2C8
betamethasone,SLC30A6
betamethasone,RBP4
betamethasone,CYP2A6
betamethasone,NDUFA4L2
betamethasone,CYP2C19
betamethasone,CYP2B6
betamethasone,PRLR
betamethasone,CYP3A7
betamethasone,NR3C1
triamcinolone,NOS2
triamcinolone,AMT
triamcinolone,SERPINA6
triamcinolone,SLC12A5
triamcinolone,DRD1
triamcinolone,SAT1
triamcinolone,ALB
triamcinolone,SLC1A5
triamcinolone,ALAD
triamcinolone,PTGS2
triamcinolone,FABP7
triamcinolone,ATP1A1
triamcinolone,SERPINE1
triamcinolone,BCHE
triamcinolone,CACNB2
triamcinolone,SLC38A3
triamcinolone,CYP3A5
triamcinolone,SLC30A7
triamcinolone,SORD
triamcinolone,CYP3A4
triamcinolone,SLC30A5
triamcinolone,PRLR
triamcinolone,CYP3A7
triamcinolone,NR3C1
prednisone,NOS2
prednisone,AMT
prednisone,SERPINA6
prednisone,SLC12A5
prednisone,DRD1
prednisone,SAT1
prednisone,ALB
prednisone,SLC1A5
prednisone,PPARA
prednisone,HSD11B1
prednisone,MT1HL1
prednisone,SLCO1B1
prednisone,AASS
prednisone,MT-CO1
prednisone,MT1B
prednisone,ABCB1
prednisone,SLC18A2
prednisone,PCYT1A
prednisone,SLCO1A2
prednisone,ASPA
prednisone,CYP1B1
prednisone,POU2F2
prednisone,SLC38A3
prednisone,CYP3A5
prednisone,SLC30A7
prednisone,SORD
prednisone,CYP3A4
prednisone,SLC30A5
prednisone,MAT2A
prednisone,CYP2C9
prednisone,SLC39A1
prednisone,ALOX15
prednisone,CYP2C8
prednisone,SLC30A6
prednisone,RBP4
prednisone,CYP2A6
prednisone,NDUFA4L2
prednisone,CYP2C19
prednisone,CYP2B6
prednisone,HSD17B4
prednisone,CYP3A4
prednisone,ALAS1
prednisone,CYP3A43
prednisone,CKMT2
prednisone,CYP3A5
prednisone,CHRNA10
prednisone,CYP3A7
prednisone,NR3C1
fludrocortisone,NOS2
fludrocortisone,AMT
fludrocortisone,SERPINA6
fludrocortisone,SLC12A5
fludrocortisone,DRD1
fludrocortisone,SAT1
fludrocortisone,ALB
fludrocortisone,SLC1A5
fludrocortisone,COL1A1
fludrocortisone,HSD11B2
fludrocortisone,AKR1C2
fludrocortisone,SLC12A7
fludrocortisone,PPARA
fludrocortisone,HSD11B1
fludrocortisone,MT1HL1
fludrocortisone,SLCO1B1
fludrocortisone,SORD
fludrocortisone,CYP3A4
fludrocortisone,SLC30A5
fludrocortisone,NR3C2
fludrocortisone,NR3C1
hydrocortisone,NOS2
hydrocortisone,AMT
hydrocortisone,SERPINA6
hydrocortisone,SLC12A5
hydrocortisone,COL1A1
hydrocortisone,HSD11B2
hydrocortisone,AKR1C2
hydrocortisone,SLC12A7
hydrocortisone,FLT1
hydrocortisone,TPK1
hydrocortisone,SHBG
hydrocortisone,AMN
hydrocortisone,PPARA
hydrocortisone,HSD11B1
hydrocortisone,MT1HL1
hydrocortisone,SLCO1B1
hydrocortisone,AASS
hydrocortisone,MT-CO1
hydrocortisone,MT1B
hydrocortisone,ABCB1
hydrocortisone,SRD5A2
hydrocortisone,ALPL
hydrocortisone,SLC18A2
hydrocortisone,PCYT1A
hydrocortisone,SLCO1A2
hydrocortisone,TPH1
hydrocortisone,CHDH
hydrocortisone,SLC22A8
hydrocortisone,AR
hydrocortisone,CYP11B1
hydrocortisone,SLCO4A1
hydrocortisone,ASPA
hydrocortisone,CYP1B1
hydrocortisone,POU2F2
hydrocortisone,SLC38A3
hydrocortisone,CYP3A5
hydrocortisone,SLC30A7
hydrocortisone,SORD
hydrocortisone,CYP3A4
hydrocortisone,SLC30A5
hydrocortisone,MAT2A
hydrocortisone,CYP2C9
hydrocortisone,SLC39A1
hydrocortisone,ALOX15
hydrocortisone,CYP2C8
hydrocortisone,SLC30A6
hydrocortisone,RBP4
hydrocortisone,CYP2A6
hydrocortisone,NDUFA4L2
hydrocortisone,CYP2C19
hydrocortisone,RRM1
hydrocortisone,CYP11B2
hydrocortisone,CYP2B6
hydrocortisone,AKR1D1
hydrocortisone,PRLR
hydrocortisone,CYP3A7
hydrocortisone,ANXA1
hydrocortisone,ADHFE1
hydrocortisone,NR3C1
prednisolone,NOS2
prednisolone,AMT
prednisolone,SERPINA6
prednisolone,SLC12A5
prednisolone,DRD1
prednisolone,SAT1
prednisolone,ALB
prednisolone,SLC1A5
prednisolone,AASS
prednisolone,MT-CO1
prednisolone,MT1B
prednisolone,ABCB1
prednisolone,SLC18A2
prednisolone,PCYT1A
prednisolone,SLCO1A2
prednisolone,SORD
prednisolone,CYP3A4
prednisolone,SLC30A5
prednisolone,NR3C1
budesonide,NOS2
budesonide,AMT
budesonide,SERPINA6
budesonide,SLC12A5
budesonide,DRD1
budesonide,SAT1
budesonide,ALB
budesonide,SLC1A5
budesonide,F2
budesonide,TYR
budesonide,FABP4
budesonide,ABCB11
budesonide,AASS
budesonide,MT-CO1
budesonide,MT1B
budesonide,ABCB1
budesonide,SLC18A2
budesonide,PCYT1A
budesonide,SLCO1A2
budesonide,TPH1
budesonide,CHDH
budesonide,SLC22A8
budesonide,ASPA
budesonide,CYP1B1
budesonide,POU2F2
budesonide,SLC38A3
budesonide,CYP3A5
budesonide,SLC30A7
budesonide,SORD
budesonide,CYP3A4
budesonide,SLC30A5
budesonide,MAT2A
budesonide,CYP2C9
budesonide,SLC39A1
budesonide,ALOX15
budesonide,CYP2C8
budesonide,SLC30A6
budesonide,RBP4
budesonide,CYP2A6
budesonide,NDUFA4L2
budesonide,CYP2C19
budesonide,CYP2B6
budesonide,HSD17B4
budesonide,CYP3A4
budesonide,ALAS1
budesonide,CYP3A43
budesonide,CKMT2
budesonide,CYP3A5
budesonide,CHRNA10
budesonide,CYP3A7
budesonide,ANXA1
budesonide,ADHFE1
budesonide,NR3C1
fluticasone,NOS2
fluticasone,AMT
fluticasone,SERPINA6
fluticasone,SLC12A5
fluticasone,LIPT1
fluticasone,VARS
fluticasone,SLCO1B1
fluticasone,ALB
fluticasone,F5
fluticasone,ADH1A
fluticasone,ABCB1
fluticasone,SLC36A1
fluticasone,PPARA
fluticasone,HSD11B1
fluticasone,MT1HL1
fluticasone,SLCO1B1
fluticasone,AASS
fluticasone,MT-CO1
fluticasone,MT1B
fluticasone,ABCB1
fluticasone,SLC38A3
fluticasone,CYP3A5
fluticasone,SLC30A7
fluticasone,SORD
fluticasone,CYP3A4
fluticasone,SLC30A5
fluticasone,ALOX15
fluticasone,CYP2C8
fluticasone,SLC30A6
fluticasone,PRLR
fluticasone,CYP3A7
fluticasone,PGR
fluticasone,PLA2G4A
fluticasone,NR3C2
fluticasone,NR3C1
desmopressin,ADH5
desmopressin,PTGS1
desmopressin,RBP1
desmopressin,SLC5A6
desmopressin,ALAD
desmopressin,PTGS2
desmopressin,FABP7
desmopressin,ATP1A1
desmopressin,AVPR1A
desmopressin,SULT1E1
desmopressin,SLC36A2
desmopressin,AVPR2
desmopressin,UPP1
desmopressin,SLC30A2
desmopressin,AVPR1B
eletriptan,ADH5
eletriptan,PTGS1
eletriptan,RBP1
eletriptan,SLC5A6
eletriptan,AASS
eletriptan,MT-CO1
eletriptan,MT1B
eletriptan,ABCB1
eletriptan,ARG1
eletriptan,CYP2D6
eletriptan,SLC30A4
eletriptan,HTR1A
eletriptan,HNMT
eletriptan,SLC30A9
eletriptan,SORD
eletriptan,CYP3A4
eletriptan,SLC30A5
eletriptan,MAT2A
eletriptan,CYP2C9
eletriptan,SLC39A1
eletriptan,RBP4
eletriptan,CYP2A6
eletriptan,NDUFA4L2
eletriptan,CYP2C19
eletriptan,HTR1F
eletriptan,NME1
eletriptan,HTR1D
eletriptan,HTR1B
voriconazole,ADH5
voriconazole,PTGS1
voriconazole,RBP1
voriconazole,SLC5A6
voriconazole,SLC38A3
voriconazole,CYP3A5
voriconazole,SLC30A7
voriconazole,SORD
voriconazole,CYP3A4
voriconazole,SLC30A5
voriconazole,MAT2A
voriconazole,CYP2C9
voriconazole,SLC39A1
voriconazole,NDUFA4L2
voriconazole,CYP2C19
voriconazole,CYP2B6
voriconazole,SEC14L3
voriconazole,FMO3
voriconazole,ADRA2C
voriconazole,FMO1
voriconazole,PRLR
voriconazole,CYP3A7
imatinib,ADH5
imatinib,PTGS1
imatinib,RBP1
imatinib,SLC5A6
imatinib,ABL1
imatinib,NOS1
imatinib,FTH1
imatinib,SLC23A1
imatinib,DRD1
imatinib,SAT1
imatinib,ALB
imatinib,SLC1A5
imatinib,CTNS
imatinib,NDUFS3
imatinib,ORM1
imatinib,SLC16A3
imatinib,F2
imatinib,TYR
imatinib,FABP4
imatinib,ABCB11
imatinib,AASS
imatinib,MT-CO1
imatinib,MT1B
imatinib,ABCB1
imatinib,CKB
imatinib,NAGLU
imatinib,MT3
imatinib,ABCG2
imatinib,ESR1
imatinib,SLC22A2
imatinib,GSR
imatinib,SLC22A1
imatinib,HRH4
imatinib,GSTT1
imatinib,ABCA3
imatinib,PDGFRB
imatinib,TK1
imatinib,TRPM6
imatinib,SLC38A3
imatinib,CYP3A5
imatinib,SLC30A7
imatinib,ARG1
imatinib,CYP2D6
imatinib,SLC30A4
imatinib,SIGMAR1
imatinib,CYP1A2
imatinib,SLC39A2
imatinib,SORD
imatinib,CYP3A4
imatinib,SLC30A5
imatinib,MAT2A
imatinib,CYP2C9
imatinib,SLC39A1
imatinib,ALOX15
imatinib,CYP2C8
imatinib,SLC30A6
imatinib,NDUFA4L2
imatinib,CYP2C19
imatinib,PRLR
imatinib,CYP3A7
imatinib,KIT
imatinib,SULT1C3
imatinib,PDGFRA
imatinib,CSF1R
imatinib,NTRK1
imatinib,DDR1
imatinib,BCR
etoposide,ADH5
etoposide,PTGS1
etoposide,RBP1
etoposide,SLC5A6
etoposide,ALAD
etoposide,PTGS2
etoposide,FABP7
etoposide,ATP1A1
etoposide,HSD3B2
etoposide,CCBL1
etoposide,SLC22A1
etoposide,ABCC1
etoposide,AASS
etoposide,MT-CO1
etoposide,MT1B
etoposide,ABCB1
etoposide,TPH2
etoposide,PPAT
etoposide,MT1X
etoposide,ABCC3
etoposide,CKB
etoposide,NAGLU
etoposide,MT3
etoposide,ABCG2
etoposide,CD52
etoposide,ELANE
etoposide,MT4
etoposide,ABCC2
etoposide,BLVRB
etoposide,ABCC6
etoposide,IDO1
etoposide,ABCC10
etoposide,TUBB
etoposide,GSTP1
etoposide,SLC51B
etoposide,HRH4
etoposide,GSTT1
etoposide,ABCA3
etoposide,SLC38A3
etoposide,CYP3A5
etoposide,SLC30A7
etoposide,SIGMAR1
etoposide,CYP1A2
etoposide,SLC39A2
etoposide,SORD
etoposide,CYP3A4
etoposide,SLC30A5
etoposide,HSD17B10
etoposide,CYP2E1
etoposide,TYMS
etoposide,UGT1A1
etoposide,TOP2A
etoposide,TOP2B
diazepam,ADH5
diazepam,PTGS1
diazepam,RBP1
diazepam,SLC5A6
diazepam,DRD1
diazepam,SAT1
diazepam,ALB
diazepam,SLC1A5
diazepam,AASS
diazepam,MT-CO1
diazepam,MT1B
diazepam,ABCB1
diazepam,SLC38A3
diazepam,CYP3A5
diazepam,SLC30A7
diazepam,SORD
diazepam,CYP3A4
diazepam,SLC30A5
diazepam,MAT2A
diazepam,CYP2C9
diazepam,SLC39A1
diazepam,ALOX15
diazepam,CYP2C8
diazepam,SLC30A6
diazepam,HSD17B10
diazepam,CYP2E1
diazepam,NDUFA4L2
diazepam,CYP2C19
diazepam,CYP2B6
diazepam,CYP17A1
diazepam,CYP2C18
diazepam,PRLR
diazepam,CYP3A7
diazepam,GABRA1
diazepam,GABRA2
diazepam,GABRA3
diazepam,GABRA4
diazepam,GABRA5
diazepam,GABRA6
diazepam,GABRB1
diazepam,GABRB2
diazepam,GABRB3
diazepam,GABRD
diazepam,GABRE
diazepam,GABRG1
diazepam,GABRG2
diazepam,GABRG3
diazepam,GABRP
diazepam,GABRQ
diazepam,GABRA1
diazepam,GABRA2
diazepam,GABRA3
diazepam,GABRA5
diazepam,GABRG1
diazepam,GABRG2
diazepam,GABRG3
terbinafine,ADH5
terbinafine,PTGS1
terbinafine,RBP1
terbinafine,SLC5A6
terbinafine,DRD1
terbinafine,SAT1
terbinafine,ALB
terbinafine,SLC1A5
terbinafine,DLAT
terbinafine,MAT2A
terbinafine,ORM1
terbinafine,KCNQ2
terbinafine,MS4A1
terbinafine,NDUFS7
terbinafine,ORM2
terbinafine,CUBN
terbinafine,ARG1
terbinafine,CYP2D6
terbinafine,SLC30A4
terbinafine,SIGMAR1
terbinafine,CYP1A2
terbinafine,SLC39A2
terbinafine,SORD
terbinafine,CYP3A4
terbinafine,SLC30A5
terbinafine,MAT2A
terbinafine,CYP2C9
terbinafine,SLC39A1
terbinafine,ALOX15
terbinafine,CYP2C8
terbinafine,SLC30A6
terbinafine,NDUFA4L2
terbinafine,CYP2C19
terbinafine,SQLE
irbesartan,ADH5
irbesartan,PTGS1
irbesartan,RBP1
irbesartan,SLC5A6
irbesartan,DRD1
irbesartan,SAT1
irbesartan,ALB
irbesartan,SLC1A5
irbesartan,AGTR1
irbesartan,MSRB1
irbesartan,VLDLR
irbesartan,SLC22A11
irbesartan,DLAT
irbesartan,MAT2A
irbesartan,ORM1
irbesartan,KCNQ2
irbesartan,MS4A1
irbesartan,NDUFS7
irbesartan,ORM2
irbesartan,CUBN
irbesartan,SORD
irbesartan,CYP3A4
irbesartan,SLC30A5
irbesartan,MAT2A
irbesartan,CYP2C9
irbesartan,SLC39A1
irbesartan,ALOX15
irbesartan,CYP2C8
irbesartan,SLC30A6
irbesartan,ATP4A
irbesartan,UGT1A3
irbesartan,JUN
zopiclone,ADH5
zopiclone,PTGS1
zopiclone,RBP1
zopiclone,SLC5A6
zopiclone,SORD
zopiclone,CYP3A4
zopiclone,SLC30A5
zopiclone,MAT2A
zopiclone,CYP2C9
zopiclone,SLC39A1
zopiclone,ALOX15
zopiclone,CYP2C8
zopiclone,SLC30A6
zopiclone,GABRA2
zopiclone,ADAMTS4
zopiclone,GABRA5
zopiclone,PKM
zopiclone,GABRA3
zopiclone,DIO2
zopiclone,TSPO
zopiclone,GABRA1
trabectedin,ADH5
trabectedin,PTGS1
trabectedin,RBP1
trabectedin,SLC5A6
trabectedin,ARG1
trabectedin,CYP2D6
trabectedin,SLC30A4
trabectedin,SORD
trabectedin,CYP3A4
trabectedin,SLC30A5
trabectedin,MAT2A
trabectedin,CYP2C9
trabectedin,SLC39A1
trabectedin,HSD17B10
trabectedin,CYP2E1
trabectedin,NDUFA4L2
trabectedin,CYP2C19
dexketoprofen,ADH5
dexketoprofen,PTGS1
dexketoprofen,RBP1
dexketoprofen,SLC5A6
dexketoprofen,PTGS1
dexketoprofen,TPH2
dexketoprofen,RBP2
dexketoprofen,SCNN1A
dexketoprofen,ALAD
dexketoprofen,PTGS2
dexketoprofen,FABP7
dexketoprofen,ATP1A1
dexketoprofen,PTGS2
dexketoprofen,GLUL
dexketoprofen,POU2F1
candesartan,ADH5
candesartan,PTGS1
candesartan,RBP1
candesartan,SLC5A6
candesartan,AGTR1
candesartan,MSRB1
candesartan,VLDLR
candesartan,SLC22A11
candesartan,PPARA
candesartan,HSD11B1
candesartan,MT1HL1
candesartan,SLCO1B1
candesartan,AASS
candesartan,MT-CO1
candesartan,MT1B
candesartan,ABCB1
candesartan,MAT2A
candesartan,CYP2C9
candesartan,SLC39A1
candesartan,ALOX15
candesartan,CYP2C8
candesartan,SLC30A6
candesartan,ATP4A
candesartan,UGT1A3
lidocaine,AMT
lidocaine,PDXK
lidocaine,RBP4
lidocaine,SLC22A5
lidocaine,AASS
lidocaine,MT-CO1
lidocaine,MT1B
lidocaine,ABCB1
lidocaine,SCN10A
lidocaine,GCK
lidocaine,SLC5A1
lidocaine,SCN5A
lidocaine,MMP12
lidocaine,ATP1B3
lidocaine,SLC38A3
lidocaine,CYP3A5
lidocaine,SLC30A7
lidocaine,ARG1
lidocaine,CYP2D6
lidocaine,SLC30A4
lidocaine,SIGMAR1
lidocaine,CYP1A2
lidocaine,SLC39A2
lidocaine,SORD
lidocaine,CYP3A4
lidocaine,SLC30A5
lidocaine,MAT2A
lidocaine,CYP2C9
lidocaine,SLC39A1
lidocaine,ALOX15
lidocaine,CYP2C8
lidocaine,SLC30A6
lidocaine,RBP4
lidocaine,CYP2A6
lidocaine,CYP2B6
lidocaine,PRLR
lidocaine,CYP3A7
lidocaine,EGFR
lidocaine,ORM1
lidocaine,SCN9A
lidocaine,SCN4A
lidocaine,ORM2
norepinephrine,AMT
norepinephrine,PDXK
norepinephrine,RBP4
norepinephrine,SLC22A5
norepinephrine,RAF1
norepinephrine,HSD17B1
norepinephrine,PCTP
norepinephrine,SLC6A2
norepinephrine,SLC18A2
norepinephrine,PCYT1A
norepinephrine,SLCO1A2
norepinephrine,ESR1
norepinephrine,SLC22A2
norepinephrine,GSR
norepinephrine,SLC22A1
norepinephrine,AKR1C1
norepinephrine,PNLIP
norepinephrine,SLC22A3
norepinephrine,SLC12A6
norepinephrine,CHKA
norepinephrine,POU5F1
norepinephrine,ADRB1
norepinephrine,ACE2
norepinephrine,SLC19A1
norepinephrine,ADRA2A
norepinephrine,SOD1
norepinephrine,SLC39A5
norepinephrine,ADRA2C
norepinephrine,FMO1
norepinephrine,ADRA1A
norepinephrine,ADRA2B
norepinephrine,ADRA1B
norepinephrine,ADRB2
norepinephrine,ADRA1D
norepinephrine,PAH
norepinephrine,ADRB3
norepinephrine,SLC18A1
quinine,AMT
quinine,PDXK
quinine,RBP4
quinine,SLC22A5
quinine,CA1
quinine,FABP2
quinine,SLC22A4
quinine,PPARA
quinine,HSD11B1
quinine,MT1HL1
quinine,SLCO1B1
quinine,AASS
quinine,MT-CO1
quinine,MT1B
quinine,ABCB1
quinine,SLC18A2
quinine,PCYT1A
quinine,SLCO1A2
quinine,ESR1
quinine,SLC22A2
quinine,GSR
quinine,SLC22A1
quinine,SLC38A3
quinine,CYP3A5
quinine,SLC30A7
quinine,ARG1
quinine,CYP2D6
quinine,SLC30A4
quinine,SIGMAR1
quinine,CYP1A2
quinine,SLC39A2
quinine,SORD
quinine,CYP3A4
quinine,SLC30A5
quinine,MAT2A
quinine,CYP2C9
quinine,SLC39A1
quinine,ALOX15
quinine,CYP2C8
quinine,SLC30A6
quinine,HSD17B10
quinine,CYP2E1
quinine,NDUFA4L2
quinine,CYP2C19
quinine,FGF4
quinine,CYP1A1
quinine,PRLR
quinine,CYP3A7
quinine,KCNN4
quinine,SRD5A2
quinine,GP9
cimetidine,AMT
cimetidine,PDXK
cimetidine,RBP4
cimetidine,SLC22A5
cimetidine,DRD1
cimetidine,SAT1
cimetidine,ALB
cimetidine,SLC1A5
cimetidine,F2
cimetidine,TYR
cimetidine,FABP4
cimetidine,ABCB11
cimetidine,CA1
cimetidine,FABP2
cimetidine,SLC22A4
cimetidine,AGTR1
cimetidine,MSRB1
cimetidine,VLDLR
cimetidine,SLC22A11
cimetidine,AASS
cimetidine,MT-CO1
cimetidine,MT1B
cimetidine,ABCB1
cimetidine,NDUFA10
cimetidine,PROC
cimetidine,MT2A
cimetidine,SLC22A6
cimetidine,HRH2
cimetidine,CDO1
cimetidine,SLC19A2
cimetidine,TPH1
cimetidine,CHDH
cimetidine,SLC22A8
cimetidine,CMPK1
cimetidine,SLC22A7
cimetidine,ESR1
cimetidine,SLC22A2
cimetidine,GSR
cimetidine,SLC22A1
cimetidine,AKR1C1
cimetidine,PNLIP
cimetidine,SLC22A3
cimetidine,AR
cimetidine,CYP11B1
cimetidine,SLCO4A1
cimetidine,ALDH2
cimetidine,ATP1A1
cimetidine,SLC47A1
cimetidine,BDH1
cimetidine,TGM2
cimetidine,SLC47A2
cimetidine,SLC38A3
cimetidine,CYP3A5
cimetidine,SLC30A7
cimetidine,ARG1
cimetidine,CYP2D6
cimetidine,SLC30A4
cimetidine,SIGMAR1
cimetidine,CYP1A2
cimetidine,SLC39A2
cimetidine,SORD
cimetidine,CYP3A4
cimetidine,SLC30A5
cimetidine,MAT2A
cimetidine,CYP2C9
cimetidine,SLC39A1
cimetidine,ALOX15
cimetidine,CYP2C8
cimetidine,SLC30A6
cimetidine,HSD17B10
cimetidine,CYP2E1
cimetidine,NDUFA4L2
cimetidine,CYP2C19
cimetidine,SEC14L3
cimetidine,FMO3
cimetidine,ADRA2C
cimetidine,FMO1
clonidine,AMT
clonidine,PDXK
clonidine,RBP4
clonidine,SLC22A5
clonidine,DRD1
clonidine,SAT1
clonidine,ALB
clonidine,SLC1A5
clonidine,CA1
clonidine,FABP2
clonidine,SLC22A4
clonidine,AKR1C1
clonidine,PNLIP
clonidine,SLC22A3
clonidine,SLC38A3
clonidine,CYP3A5
clonidine,SLC30A7
clonidine,ARG1
clonidine,CYP2D6
clonidine,SLC30A4
clonidine,ADRA2A
clonidine,SOD1
clonidine,SLC39A5
clonidine,SIGMAR1
clonidine,CYP1A2
clonidine,SLC39A2
clonidine,SORD
clonidine,CYP3A4
clonidine,SLC30A5
clonidine,FGF4
clonidine,CYP1A1
clonidine,ADRA2C
clonidine,FMO1
clonidine,ADRA1A
clonidine,ADRA2B
clonidine,ADRA1B
clonidine,ADRA1D
verapamil,AMT
verapamil,PDXK
verapamil,RBP4
verapamil,SLC22A5
verapamil,DRD1
verapamil,SAT1
verapamil,ALB
verapamil,SLC1A5
verapamil,CTNS
verapamil,NDUFS3
verapamil,ORM1
verapamil,SLC16A3
