,source,target,rel,SOURCE
689,acitretin,epistaxis,Adverse event,SIDER
692,acitretin,excessive cerumen production,Adverse event,SIDER
693,acitretin,exostosis,Adverse event,SIDER
694,acitretin,exostosis,Adverse event,BNF
696,acitretin,eye irritation,Adverse event,SIDER
697,acitretin,eye pain,Adverse event,SIDER
698,acitretin,eye pruritus,Adverse event,SIDER
701,acitretin,febrile neutropenia,Adverse event,SIDER
707,acitretin,gait disturbance,Adverse event,SIDER
713,acitretin,gingival bleeding,Adverse event,SIDER
714,acitretin,gingival hyperplasia,Adverse event,SIDER
716,acitretin,glossitis,Adverse event,SIDER
718,acitretin,glycosuria,Adverse event,SIDER
720,acitretin,haematuria,Adverse event,SIDER
725,acitretin,hair colour changes,Adverse event,SIDER
726,acitretin,hair texture abnormal,Adverse event,SIDER
727,acitretin,hair texture abnormal,Adverse event,BNF
733,acitretin,hepatitis f,Adverse event,SIDER
738,acitretin,hyperaesthesia,Adverse event,SIDER
746,acitretin,hypertrichosis,Adverse event,SIDER
748,acitretin,hypervitaminosis a,Adverse event,SIDER
749,acitretin,hypoacusis,Adverse event,BNF
751,acitretin,idiopathic intracranial hypertension,Adverse event,BNF
752,acitretin,ill-defined disorder,Adverse event,SIDER
753,acitretin,immune system disorder,Adverse event,SIDER
754,acitretin,impaired healing,Adverse event,SIDER
755,acitretin,increased appetite,Adverse event,SIDER
758,acitretin,influenza like illness,Adverse event,SIDER
760,acitretin,intentional self-injury,Adverse event,SIDER
766,acitretin,ketonuria,Adverse event,SIDER
767,acitretin,laboratory test abnormal,Adverse event,SIDER
768,acitretin,lacrimal disorder,Adverse event,SIDER
769,acitretin,lacrimation disorder,Adverse event,SIDER
771,acitretin,libido decreased,Adverse event,SIDER
773,acitretin,lip dry,Adverse event,SIDER
775,acitretin,liver function test abnormal,Adverse event,SIDER
776,acitretin,liver function test increased,Adverse event,SIDER
779,acitretin,madarosis,Adverse event,SIDER
782,acitretin,marrow depression and hypoplastic anaemias,Adverse event,SIDER
783,acitretin,melaena,Adverse event,SIDER
786,acitretin,monocyte count decreased,Adverse event,SIDER
787,acitretin,mouth ulceration,Adverse event,SIDER
793,acitretin,myopathy,Adverse event,SIDER
794,acitretin,nail disorder,Adverse event,SIDER
801,acitretin,night blindness,Adverse event,SIDER
808,acitretin,onychoclasis,Adverse event,BNF
810,acitretin,oral disorder,Adverse event,BNF
819,acitretin,papilloedema,Adverse event,SIDER
822,acitretin,penis disorder,Adverse event,SIDER
823,acitretin,peripheral ischaemia,Adverse event,SIDER
828,acitretin,proctalgia,Adverse event,SIDER
835,acitretin,pyogenic granuloma,Adverse event,SIDER
836,acitretin,pyogenic granuloma,Adverse event,BNF
838,acitretin,rash erythematous,Adverse event,SIDER
839,acitretin,rectal tenesmus,Adverse event,SIDER
840,acitretin,retinal haemorrhage,Adverse event,SIDER
842,acitretin,saliva altered,Adverse event,SIDER
843,acitretin,salivary hypersecretion,Adverse event,SIDER
846,acitretin,scotoma,Adverse event,SIDER
848,acitretin,self injurious behaviour,Adverse event,SIDER
849,acitretin,senile ankylosing vertebral hyperostosis,Adverse event,SIDER
851,acitretin,skin atrophy,Adverse event,SIDER
855,acitretin,skin fissures,Adverse event,SIDER
856,acitretin,skin fragility,Adverse event,SIDER
857,acitretin,skin hypertrophy,Adverse event,SIDER
858,acitretin,skin irritation,Adverse event,SIDER
859,acitretin,skin mass,Adverse event,SIDER
860,acitretin,skin odour abnormal,Adverse event,SIDER
861,acitretin,skin papilloma,Adverse event,SIDER
862,acitretin,skin reaction,Adverse event,BNF
866,acitretin,sticky skin,Adverse event,SIDER
867,acitretin,stomatitis,Adverse event,SIDER
870,acitretin,sweat gland disorder,Adverse event,SIDER
871,acitretin,taste disorder,Adverse event,BNF
874,acitretin,thirst,Adverse event,SIDER
875,acitretin,thirst,Adverse event,BNF
876,acitretin,tinnitus,Adverse event,SIDER
877,acitretin,tinnitus,Adverse event,BNF
878,acitretin,tongue disorder,Adverse event,SIDER
879,acitretin,tongue ulceration,Adverse event,SIDER
882,acitretin,urine abnormality,Adverse event,SIDER
883,acitretin,urine analysis abnormal,Adverse event,SIDER
886,acitretin,vascular purpura,Adverse event,SIDER
889,acitretin,vision disorders,Adverse event,BNF
890,acitretin,visual acuity reduced,Adverse event,SIDER
891,acitretin,visual impairment,Adverse event,SIDER
898,acitretin,white blood cell count increased,Adverse event,SIDER
899,acitretin,xerophthalmia,Adverse event,SIDER
900,acitretin,xerophthalmia,Adverse event,BNF
909,acyclovir,alopecia,Adverse event,SIDER
910,acyclovir,alopecia,Adverse event,BNF
911,acyclovir,altered state of consciousness,Adverse event,SIDER
918,acyclovir,aphthous stomatitis,Adverse event,SIDER
920,acyclovir,application site irritation,Adverse event,SIDER
921,acyclovir,application site pain,Adverse event,SIDER
922,acyclovir,application site reaction,Adverse event,SIDER
924,acyclovir,aspartate aminotransferase increased,Adverse event,SIDER
930,acyclovir,blood alkaline phosphatase increased,Adverse event,SIDER
931,acyclovir,blood and lymphatic system disorders,Adverse event,SIDER
932,acyclovir,blood creatinine increased,Adverse event,SIDER
933,acyclovir,blood urea increased,Adverse event,SIDER
936,acyclovir,cardiac tamponade,Adverse event,SIDER
937,acyclovir,chapped lips,Adverse event,SIDER
948,acyclovir,crystalluria,Adverse event,BNF
953,acyclovir,depressed level of consciousness,Adverse event,SIDER
964,acyclovir,dysarthria,Adverse event,SIDER
965,acyclovir,dysarthria,Adverse event,BNF
978,acyclovir,eye inflammation,Adverse event,BNF
979,acyclovir,eye pain,Adverse event,BNF
980,acyclovir,face oedema,Adverse event,SIDER
989,acyclovir,gingival pain,Adverse event,SIDER
990,acyclovir,haematuria,Adverse event,SIDER
991,acyclovir,haemoglobinaemia,Adverse event,SIDER
992,acyclovir,haemolytic uraemic syndrome,Adverse event,SIDER
995,acyclovir,"hallucinations, mixed",Adverse event,SIDER
999,acyclovir,hepatobiliary disease,Adverse event,SIDER
1014,acyclovir,ill-defined disorder,Adverse event,SIDER
1015,acyclovir,immune system disorder,Adverse event,SIDER
1020,acyclovir,injection site phlebitis,Adverse event,SIDER
1022,acyclovir,instillation site pain,Adverse event,SIDER
1028,acyclovir,lethargy,Adverse event,SIDER
1029,acyclovir,leukocytoclastic vasculitis,Adverse event,SIDER
1033,acyclovir,lip dry,Adverse event,SIDER
1035,acyclovir,liver function test abnormal,Adverse event,SIDER
1036,acyclovir,liver function test increased,Adverse event,SIDER
1037,acyclovir,lymphadenopathy,Adverse event,SIDER
1048,acyclovir,necrosis,Adverse event,SIDER
1050,acyclovir,neurological symptom,Adverse event,SIDER
1052,acyclovir,neutrophilia,Adverse event,SIDER
1063,acyclovir,pain in extremity,Adverse event,SIDER
1067,acyclovir,phlebitis,Adverse event,SIDER
1070,acyclovir,platelet count decreased,Adverse event,SIDER
1078,acyclovir,purpura fulminans,Adverse event,SIDER
1079,acyclovir,pyrexia,Adverse event,BNF
1089,acyclovir,renal pain,Adverse event,SIDER
1090,acyclovir,renal pain,Adverse event,BNF
1096,acyclovir,skin burning sensation,Adverse event,SIDER
1099,acyclovir,skin reaction,Adverse event,BNF
1105,acyclovir,thirst,Adverse event,SIDER
1111,acyclovir,thrombotic thrombocytopenic purpura,Adverse event,SIDER
1115,acyclovir,type i hypersensitivity,Adverse event,SIDER
1120,acyclovir,urine analysis abnormal,Adverse event,SIDER
1126,acyclovir,vertigo,Adverse event,SIDER
1133,alfentanil,agitation postoperative,Adverse event,SIDER
1134,alfentanil,airway complication of anaesthesia,Adverse event,SIDER
1135,alfentanil,anaesthetic complication neurological,Adverse event,SIDER
1156,alfentanil,confusion postoperative,Adverse event,SIDER
1164,alfentanil,crying,Adverse event,BNF
1175,alfentanil,endotracheal intubation complication,Adverse event,SIDER
1176,alfentanil,epistaxis,Adverse event,SIDER
1177,alfentanil,epistaxis,Adverse event,BNF
1183,alfentanil,fatal outcomes,Adverse event,SIDER
1204,alfentanil,immune system disorder,Adverse event,SIDER
1205,alfentanil,injection site pain,Adverse event,SIDER
1227,alfentanil,post procedural complication,Adverse event,BNF
1228,alfentanil,procedural complication,Adverse event,SIDER
1229,alfentanil,procedural complication,Adverse event,BNF
1235,alfentanil,pyrexia,Adverse event,BNF
1239,alfentanil,respiratory arrest,Adverse event,SIDER
1243,alfentanil,respiratory disorder,Adverse event,BNF
1244,alfentanil,respiratory rate decreased,Adverse event,SIDER
1247,alfentanil,skin reaction,Adverse event,BNF
1251,alfentanil,unresponsive to stimuli,Adverse event,SIDER
1254,alfentanil,vascular pain,Adverse event,SIDER
1255,alfentanil,vascular pain,Adverse event,BNF
1256,alfentanil,vertigo,Adverse event,BNF
1258,alfentanil,visual impairment,Adverse event,SIDER
1259,alfentanil,visual impairment,Adverse event,BNF
1266,alfuzosin,abdominal pain upper,Adverse event,SIDER
1281,alfuzosin,blood and lymphatic system disorders,Adverse event,SIDER
1282,alfuzosin,blood pressure diastolic decreased,Adverse event,SIDER
1292,alfuzosin,cerebral ischaemia,Adverse event,BNF
1295,alfuzosin,cholestasis,Adverse event,SIDER
1296,alfuzosin,cholestatic liver injury,Adverse event,SIDER
1310,alfuzosin,ear and labyrinth disorders,Adverse event,SIDER
1323,alfuzosin,hepatobiliary disease,Adverse event,SIDER
1327,alfuzosin,ill-defined disorder,Adverse event,SIDER
1329,alfuzosin,infestation,Adverse event,SIDER
1330,alfuzosin,influenza like illness,Adverse event,SIDER
1332,alfuzosin,intervertebral disc disorder,Adverse event,SIDER
1353,alfuzosin,oedema due to cardiac disease,Adverse event,SIDER
1361,alfuzosin,priapism,Adverse event,SIDER
1362,alfuzosin,priapism,Adverse event,BNF
1371,alfuzosin,skin reaction,Adverse event,BNF
1388,alfuzosin,vertigo,Adverse event,SIDER
1389,alfuzosin,vertigo,Adverse event,BNF
1390,alfuzosin,visual impairment,Adverse event,BNF
1395,allopurinol,abdominal pain upper,Adverse event,SIDER
1396,allopurinol,ageusia,Adverse event,SIDER
1401,allopurinol,alopecia,Adverse event,SIDER
1402,allopurinol,alopecia,Adverse event,BNF
1403,allopurinol,amblyopia,Adverse event,SIDER
1411,allopurinol,angioimmunoblastic t-cell lymphoma,Adverse event,SIDER
1412,allopurinol,angioimmunoblastic t-cell lymphoma,Adverse event,BNF
1413,allopurinol,aplasia,Adverse event,SIDER
1425,allopurinol,blood and lymphatic system disorders,Adverse event,SIDER
1426,allopurinol,blood creatinine increased,Adverse event,SIDER
1428,allopurinol,blood electrolytes abnormal,Adverse event,SIDER
1438,allopurinol,cardio-respiratory arrest,Adverse event,SIDER
1454,allopurinol,crystalluria,Adverse event,SIDER
1470,allopurinol,dysuria,Adverse event,SIDER
1471,allopurinol,ecchymosis,Adverse event,SIDER
1474,allopurinol,eosinophilia,Adverse event,SIDER
1476,allopurinol,epistaxis,Adverse event,SIDER
1481,allopurinol,face oedema,Adverse event,SIDER
1495,allopurinol,glycosuria,Adverse event,SIDER
1500,allopurinol,granulomatous liver disease,Adverse event,SIDER
1503,allopurinol,haematemesis,Adverse event,SIDER
1504,allopurinol,haematuria,Adverse event,SIDER
1510,allopurinol,hair colour changes,Adverse event,BNF
1515,allopurinol,hepatic necrosis,Adverse event,SIDER
1517,allopurinol,hepatobiliary disease,Adverse event,SIDER
1519,allopurinol,hepatomegaly,Adverse event,SIDER
1529,allopurinol,hyperphosphataemia,Adverse event,SIDER
1532,allopurinol,hypersensitivity vasculitis,Adverse event,SIDER
1541,allopurinol,hyponatraemia,Adverse event,SIDER
1544,allopurinol,ill-defined disorder,Adverse event,SIDER
1545,allopurinol,immune system disorder,Adverse event,SIDER
1548,allopurinol,infertility male,Adverse event,SIDER
1549,allopurinol,infertility male,Adverse event,BNF
1551,allopurinol,injection site reaction,Adverse event,SIDER
1553,allopurinol,intestinal obstruction,Adverse event,SIDER
1560,allopurinol,leukocytoclastic vasculitis,Adverse event,SIDER
1568,allopurinol,lymphadenopathy,Adverse event,SIDER
1569,allopurinol,lymphocytosis,Adverse event,SIDER
1571,allopurinol,maculopathy,Adverse event,BNF
1576,allopurinol,mental status changes,Adverse event,SIDER
1579,allopurinol,muscle relaxant therapy,Adverse event,SIDER
1586,allopurinol,myopathy,Adverse event,SIDER
1599,allopurinol,nocturnal emission,Adverse event,SIDER
1604,allopurinol,onycholysis,Adverse event,SIDER
1609,allopurinol,pancreatitis haemorrhagic,Adverse event,SIDER
1613,allopurinol,paralysis,Adverse event,SIDER
1614,allopurinol,paralysis,Adverse event,BNF
1615,allopurinol,pericarditis,Adverse event,SIDER
1617,allopurinol,peroneal nerve palsy,Adverse event,SIDER
1624,allopurinol,pyrexia,Adverse event,BNF
1627,allopurinol,rash maculo-papular,Adverse event,SIDER
1633,allopurinol,reticulocytosis,Adverse event,SIDER
1636,allopurinol,salivary gland enlargement,Adverse event,SIDER
1640,allopurinol,septic shock,Adverse event,SIDER
1643,allopurinol,skin oedema,Adverse event,SIDER
1644,allopurinol,skin reaction,Adverse event,BNF
1649,allopurinol,steatorrhoea,Adverse event,SIDER
1652,allopurinol,stomatitis,Adverse event,SIDER
1653,allopurinol,stomatitis,Adverse event,BNF
1655,allopurinol,swelling face,Adverse event,SIDER
1656,allopurinol,taste disorder,Adverse event,BNF
1660,allopurinol,tinnitus,Adverse event,SIDER
1661,allopurinol,tongue disorder,Adverse event,SIDER
1662,allopurinol,tongue oedema,Adverse event,SIDER
1666,allopurinol,tubulointerstitial nephritis,Adverse event,SIDER
1667,allopurinol,tumour lysis syndrome,Adverse event,SIDER
1674,allopurinol,vascular purpura,Adverse event,SIDER
1676,allopurinol,vasculitis gastrointestinal,Adverse event,SIDER
1677,allopurinol,vasculitis necrotising,Adverse event,SIDER
1680,allopurinol,vertigo,Adverse event,SIDER
1681,allopurinol,vertigo,Adverse event,BNF
1682,allopurinol,visual impairment,Adverse event,SIDER
1683,allopurinol,visual impairment,Adverse event,BNF
1686,allopurinol,water intoxication,Adverse event,SIDER
1688,allopurinol,wheezing,Adverse event,SIDER
1691,almotriptan,abdominal pain upper,Adverse event,SIDER
1707,almotriptan,blepharospasm,Adverse event,SIDER
1719,almotriptan,cold sweat,Adverse event,SIDER
1721,almotriptan,colitis ischaemic,Adverse event,SIDER
1730,almotriptan,diplopia,Adverse event,SIDER
1735,almotriptan,dry eye,Adverse event,SIDER
1743,almotriptan,ear and labyrinth disorders,Adverse event,SIDER
1745,almotriptan,epistaxis,Adverse event,SIDER
1749,almotriptan,eye irritation,Adverse event,SIDER
1750,almotriptan,eye pain,Adverse event,SIDER
1760,almotriptan,hemiplegia,Adverse event,SIDER
1761,almotriptan,hyperacusis,Adverse event,SIDER
1765,almotriptan,hyperreflexia,Adverse event,SIDER
1769,almotriptan,hyperventilation,Adverse event,SIDER
1771,almotriptan,hypoaesthesia oral,Adverse event,SIDER
1772,almotriptan,ill-defined disorder,Adverse event,SIDER
1773,almotriptan,immune system disorder,Adverse event,SIDER
1775,almotriptan,intestinal ischaemia,Adverse event,BNF
1792,almotriptan,myopathy,Adverse event,SIDER
1800,almotriptan,nightmare,Adverse event,SIDER
1801,almotriptan,nystagmus,Adverse event,SIDER
1805,almotriptan,pain in extremity,Adverse event,SIDER
1810,almotriptan,parosmia,Adverse event,SIDER
1811,almotriptan,peripheral coldness,Adverse event,SIDER
1819,almotriptan,salivary hypersecretion,Adverse event,SIDER
1820,almotriptan,scotoma,Adverse event,SIDER
1822,almotriptan,serotonin syndrome,Adverse event,SIDER
1829,almotriptan,swollen tongue,Adverse event,SIDER
1834,almotriptan,thirst,Adverse event,SIDER
1835,almotriptan,throat tightness,Adverse event,BNF
1836,almotriptan,tinnitus,Adverse event,SIDER
1837,almotriptan,tinnitus,Adverse event,BNF
1843,almotriptan,vertigo,Adverse event,SIDER
1845,almotriptan,vision disorders,Adverse event,BNF
1846,almotriptan,visual impairment,Adverse event,SIDER
1853,alprazolam,abnormal dreams,Adverse event,SIDER
1864,alprazolam,altered state of consciousness,Adverse event,SIDER
1871,alprazolam,anterograde amnesia,Adverse event,BNF
1876,alprazolam,apathy,Adverse event,SIDER
1882,alprazolam,autonomic nervous system imbalance,Adverse event,BNF
1884,alprazolam,balance disorder,Adverse event,SIDER
1900,alprazolam,clumsiness,Adverse event,SIDER
1902,alprazolam,cold sweat,Adverse event,SIDER
1919,alprazolam,depressed level of consciousness,Adverse event,SIDER
1920,alprazolam,depressed level of consciousness,Adverse event,BNF
1933,alprazolam,diplopia,Adverse event,SIDER
1942,alprazolam,disturbance in sexual arousal,Adverse event,SIDER
1947,alprazolam,drug withdrawal convulsions,Adverse event,SIDER
1951,alprazolam,dysarthria,Adverse event,SIDER
1952,alprazolam,dysarthria,Adverse event,BNF
1957,alprazolam,dysphonia,Adverse event,SIDER
1961,alprazolam,dysuria,Adverse event,SIDER
1962,alprazolam,ear and labyrinth disorders,Adverse event,SIDER
1964,alprazolam,energy increased,Adverse event,SIDER
1965,alprazolam,epistaxis,Adverse event,SIDER
1976,alprazolam,feeling drunk,Adverse event,SIDER
1977,alprazolam,feeling hot,Adverse event,SIDER
1978,alprazolam,feeling jittery,Adverse event,SIDER
1979,alprazolam,feeling of relaxation,Adverse event,SIDER
1980,alprazolam,flat affect,Adverse event,SIDER
1990,alprazolam,hangover,Adverse event,SIDER
1996,alprazolam,hepatobiliary disease,Adverse event,SIDER
1997,alprazolam,homicidal ideation,Adverse event,SIDER
2001,alprazolam,hyperaesthesia,Adverse event,SIDER
2010,alprazolam,hyperventilation,Adverse event,SIDER
2017,alprazolam,ill-defined disorder,Adverse event,SIDER
2018,alprazolam,incontinence,Adverse event,SIDER
2019,alprazolam,increased appetite,Adverse event,SIDER
2021,alprazolam,infestation,Adverse event,SIDER
2030,alprazolam,laryngeal pain,Adverse event,SIDER
2031,alprazolam,lethargy,Adverse event,SIDER
2032,alprazolam,libido decreased,Adverse event,SIDER
2033,alprazolam,libido disorder,Adverse event,BNF
2034,alprazolam,libido increased,Adverse event,SIDER
2036,alprazolam,liver function test abnormal,Adverse event,SIDER
2037,alprazolam,logorrhoea,Adverse event,SIDER
2040,alprazolam,loss of control of legs,Adverse event,SIDER
2051,alprazolam,menstrual disorder,Adverse event,SIDER
2052,alprazolam,menstruation irregular,Adverse event,SIDER
2053,alprazolam,menstruation irregular,Adverse event,BNF
2064,alprazolam,muscle relaxant therapy,Adverse event,SIDER
2084,alprazolam,nightmare,Adverse event,SIDER
2090,alprazolam,pain in extremity,Adverse event,SIDER
2097,alprazolam,paradoxical drug reaction,Adverse event,BNF
2112,alprazolam,psychomotor retardation,Adverse event,SIDER
2119,alprazolam,road traffic accident,Adverse event,SIDER
2120,alprazolam,salivary hypersecretion,Adverse event,SIDER
2128,alprazolam,sleep apnoea syndrome,Adverse event,SIDER
2131,alprazolam,sleep talking,Adverse event,SIDER
2132,alprazolam,sluggishness,Adverse event,SIDER
2137,alprazolam,sticky skin,Adverse event,SIDER
2138,alprazolam,strangury,Adverse event,SIDER
